id_5569;d1912643;6;14;20;42;19;$$ - $$$;5451;228;French,International,European
id_1535;d7992032;0;0;1;1;2;$$ - $$$;1038;15;Asian,Nepali
id_352;d8632781;29;35;83;196;483;$$$$;1008;987;Japanese,Sushi,Asian
id_3456;d1358776;0;0;0;0;3;NaN;4696;3;NaN
id_615;d6864963;0;1;3;13;5;$$ - $$$;661;168;German,European,Central European
id_1418;d12503536;2;1;1;5;14;$$ - $$$;774;40;Bar,Portuguese
id_1720;d5808504;0;1;0;5;5;$;1835;81;Italian,Pizza,Seafood
id_825;d3199765;1;0;0;0;1;NaN;885;9;Italian
id_2690;d12845029;0;0;0;1;0;NaN;3295;1;Cafe,European
id_4209;d8020681;2;0;3;6;7;$;4802;78;Italian,Pizza,Fast Food
id_6578;d10696479;4;0;4;3;0;$;8259;11;Spanish
id_5312;d12402429;11;9;15;28;74;$$ - $$$;3795;145;Italian,Pizza,Vegetarian Friendly
id_4066;d2259559;44;25;45;73;119;$$ - $$$;3483;380;Italian,Pizza,European
id_4637;d12107166;0;0;0;0;3;$$ - $$$;4775;11;Cafe,Vegetarian Friendly,Gluten Free Options
id_4773;d10859423;0;0;0;0;2;$$ - $$$;5469;13;Seafood,Mediterranean,European
id_1401;d6633059;6;2;4;13;10;$$ - $$$;1438;36;Cafe,Vegetarian Friendly
id_5257;d10266473;0;0;0;0;1;NaN;;4;Japanese,Asian,Thai,Vietnamese
id_11121;d8659568;1;0;0;0;6;$$ - $$$;10774;7;Bar,Pub
id_3127;d3702312;0;2;1;8;7;$$ - $$$;1284;72;German,Cafe,International
id_2791;d8155327;1;1;0;1;1;$$ - $$$;23;18;Chinese,Asian
id_5844;d10058810;0;0;0;1;0;NaN;;1;NaN
id_13016;d2508041;13;12;7;17;32;$$ - $$$;8010;84;Bar,British,Pub
id_72;d1018940;8;13;39;94;124;$$ - $$$;85;465;Asian,Thai,Vegetarian Friendly
id_14973;d7617571;1;6;7;2;1;$$ - $$$;1802;18;Quick Bites,British
id_1076;d12018194;0;0;0;0;2;$;1880;2;Polish,International,European
id_2763;d10060659;0;0;0;0;1;$$ - $$$;3842;11;Spanish,Wine Bar
id_10057;d2040769;0;0;0;0;1;NaN;12046;4;NaN
id_8349;d5776152;7;1;5;1;2;$;9601;16;Bar,Mediterranean,Spanish
id_1841;d11841754;2;0;0;3;3;$$ - $$$;1839;31;American,European,Diner
id_2006;d3591150;0;0;0;4;5;NaN;;15;Dutch,European
id_1327;d8791087;0;0;0;0;1;NaN;2254;1;NaN
id_2434;d3543959;1;0;1;2;0;NaN;2243;4;Vietnamese
id_2427;d5263694;0;0;0;0;4;$;2011;76;Italian,Pizza,Fast Food
id_2045;d10302313;0;0;0;1;0;$$ - $$$;2830;36;Italian,Mexican,Pizza
id_5842;d3267260;0;1;1;0;1;$$ - $$$;6270;109;Italian,Bar
id_5209;d13322935;2;0;2;1;6;$$ - $$$;2688;74;Chinese,Japanese,Seafood
id_3131;d12447161;6;4;7;15;14;$$ - $$$;1714;758;Italian,Bar,Vegetarian Friendly
id_2711;d12354572;1;0;0;8;8;$;3595;17;Bar,Cafe,Mediterranean
id_5459;d953033;3;7;9;14;4;$$ - $$$;8126;164;Asian,Thai,Vegan Options
id_164;d6031001;0;1;2;9;19;$$ - $$$;209;109;Healthy,Soups,Vegetarian Friendly
id_9924;d5799345;1;0;1;3;3;$;8714;51;Pub
id_2192;d5981466;0;0;0;0;1;$$ - $$$;58;26;Japanese,Sushi,Asian
id_11945;d7276832;1;0;3;2;6;NaN;9311;12;Bar,European,British,Pub
id_8460;d12550964;9;11;7;4;3;$$ - $$$;9707;34;Italian,Mediterranean,Vegetarian Friendly
id_75;d4150215;7;16;36;87;126;$$ - $$$;146;780;Belgian,European,Vegetarian Friendly
id_2098;d7952588;6;2;7;35;49;$$ - $$$;972;293;Cafe,Mediterranean,European
id_1048;d719083;6;3;8;33;78;NaN;;300;French
id_1907;d5408595;3;0;2;1;1;$;1937;14;Chinese,Fast Food,Sushi
id_10142;d12391114;1;1;0;1;4;NaN;11085;7;NaN
id_9231;d7332770;0;0;0;1;1;$;5636;40;Asian,Vietnamese
id_279;d1785149;19;24;27;108;259;$$ - $$$;1;451;Italian,Pizza,European
id_155;d4588301;5;12;13;59;122;$$ - $$$;332;696;Steakhouse,Latin,Barbecue
id_2622;d7123553;0;0;0;0;1;$;3467;5;Cafe
id_5510;d697485;0;0;0;1;0;NaN;6006;6;NaN
id_547;d4353632;0;0;0;2;5;$$ - $$$;935;733;Chinese,Japanese,Sushi
id_10032;d1035491;0;0;0;1;1;NaN;12489;2;NaN
id_8755;d12676684;1;0;0;7;7;$;25;16;Specialty Food Market,German,Deli
id_1620;d11770289;0;0;0;2;0;NaN;2174;2;NaN
id_3662;d5587837;1;1;1;0;2;$;4393;26;Mediterranean,Spanish
id_150;d813990;48;40;86;275;541;$;367;1739;Mediterranean,Healthy,Vegetarian Friendly
id_52;d2259146;63;77;134;570;1,475;$$ - $$$;91;2526;Irish,Seafood,European
id_1981;d10073699;0;1;1;0;1;$;2392;12;European,Hungarian
id_533;d1099373;37;29;47;74;228;$$$$;1198;1266;Japanese,Asian,Fusion
id_2068;d797017;0;0;0;4;7;$$ - $$$;1701;148;Seafood,Mediterranean,European
